Parameter,Value,Score_Best,Score_Avg,Score_Worst,Score_Std,Time(s),Gens_Avg
population_size,50.0,176.47058823529412,174.5,147.05882352941177,7.5,0.613,28.5
population_size,100.0,176.47058823529412,176.5,176.47058823529412,0.0,1.16,27.2
population_size,150.0,176.47058823529412,176.5,176.47058823529412,0.0,1.745,26.2
population_size,200.0,176.47058823529412,176.5,176.47058823529412,0.0,2.4,26.3
mutation_rate,0.3,176.47058823529412,176.5,176.47058823529412,0.0,1.032,27.1
mutation_rate,0.5,176.47058823529412,176.5,176.47058823529412,0.0,1.11,27.5
mutation_rate,0.7,176.47058823529412,176.5,176.47058823529412,0.0,1.164,27.2
mutation_rate,0.9,176.47058823529412,176.5,176.47058823529412,0.0,1.224,27.3
tournament_k,2.0,176.47058823529412,176.5,176.47058823529412,0.0,1.156,26.6
tournament_k,3.0,176.47058823529412,176.5,176.47058823529412,0.0,1.267,27.2
tournament_k,5.0,176.47058823529412,176.5,176.47058823529412,0.0,1.219,26.6
tournament_k,7.0,176.47058823529412,176.5,176.47058823529412,0.0,1.313,27.7
stagnation_limit,15.0,176.47058823529412,176.5,176.47058823529412,0.0,0.825,17.2
stagnation_limit,25.0,176.47058823529412,176.5,176.47058823529412,0.0,1.217,27.2
stagnation_limit,40.0,176.47058823529412,176.5,176.47058823529412,0.0,1.876,42.2
stagnation_limit,60.0,176.47058823529412,176.5,176.47058823529412,0.0,2.992,62.2
